id,nombre_app,nombre_jomashop,oz,ml,precio_usd,estado,precio_con_cupon
19,Lattafa Khamrah,Unisex Khamrah EDP Spray,3.4,100,26.99,ok,
20,Lattafa Yara,Ladies Yara EDP Spray,3.38,100,23.50,ok,
21,Lattafa Asad,Men's Asad EDP Spray,3.4,100,24.99,ok,
22,Lattafa Bade'e Al Oud,Unisex Bade'e Al Oud Oud for Glory EDP Spray,3.4,100,22.99,ok,
66,Lattafa Khamrah Qahwa,Unisex Khamrah Qahwa EDP Spray,3.4,100,29.99,ok,
67,Lattafa Khamrah Dukhan,Men's Khamrah Dukhan EDP Spray,3.4,100,28.50,ok,
68,Lattafa Asad Bourbon,Men's Asad Bourbon EDP Spray,3.4,100,27.95,ok,
71,Lattafa Opulent Dubai,Unisex Opulent Dubai EDP Spray,3.4,100,24.99,ok,
122,Lattafa Bade'e Al Oud Honor & Glory,Unisex Bade'e Al Oud Honor & Glory EDP Spray,3.4,100,24.99,ok,
25,Armaf Club de Nuit Intense Man,Men's Club De Nuit Intense EDT Spray,3.6,105,26.99,ok,
26,Armaf Club de Nuit Untold,Unisex Club De Nuit Untold EDP Spray,3.6,105,37.25,ok,
70,Armaf Odyssey Mandarin Sky,Men's Odyssey Mandarin Sky EDP Spray,3.4,100,28.25,ok,
108,Armaf Club de Nuit Urban Man Elixir,Men's Club De Nuit Urban Elixir EDP Spray,3.55,105,36.95,ok,
124,Armaf Club de Nuit Blue Iconic,Men's Club De Nuit Blue Iconic EDP Spray,3.6,105,39.99,ok,
125,Armaf Club de Nuit Untold,Unisex Club De Nuit Untold EDP Spray,3.6,105,37.25,duplicado-de-26,
38,Tom Ford Tobacco Vanille,Unisex Tobacco Vanille EDP Spray,1.7,50,279.05,ok,223.24
39,Tom Ford Oud Wood,Unisex Oud Wood EDP Spray Private Blend,1.7,50,192.98,ok,154.38
61,Tom Ford Noir Extreme,Noir Extreme EDP Spray,3.4,100,148.69,ok,118.95
73,Tom Ford Ombré Leather Parfum,Unisex Ombre Leather Parfum Spray,3.4,100,206.19,ok,164.95
